timestamp,city,pm25,pm10,no2
2026-09-21 00:00:00,Delhi,89.4,109.9,58.8
2026-09-21 01:00:00,Delhi,92.0,112.9,61.4
2026-09-21 02:00:00,Delhi,94.5,115.9,63.5
2026-09-21 03:00:00,Delhi,97.6,119.7,66.4
2026-09-21 04:00:00,Delhi,101.0,123.4,68.9
2026-09-21 05:00:00,Delhi,67.8,84.1,43.4
2026-09-21 06:00:00,Delhi,72.9,89.2,43.5
2026-09-21 07:00:00,Delhi,79.2,91.0,43.3
2026-09-21 08:00:00,Delhi,65.4,81.7,40.1
2026-09-21 09:00:00,Delhi,51.8,75.9,31.1
2026-09-21 10:00:00,Delhi,49.9,78.0,19.1
2026-09-21 11:00:00,Delhi,51.6,83.4,10.0
2026-09-21 12:00:00,Delhi,52.9,86.8,6.2
2026-09-21 13:00:00,Delhi,53.8,88.7,5.3
2026-09-21 14:00:00,Delhi,54.8,91.0,6.2
2026-09-21 15:00:00,Delhi,55.9,94.3,8.6
2026-09-21 16:00:00,Delhi,57.2,95.0,12.8
2026-09-21 17:00:00,Delhi,60.1,90.8,19.5
2026-09-21 18:00:00,Delhi,66.8,93.6,27.9
2026-09-21 19:00:00,Delhi,71.5,99.2,39.7
2026-09-21 20:00:00,Delhi,75.0,105.5,51.1
2026-09-21 21:00:00,Delhi,80.8,115.0,61.3
2026-09-21 22:00:00,Delhi,89.6,129.5,71.0
2026-09-21 23:00:00,Delhi,95.0,141.1,78.0
2026-09-22 00:00:00,Delhi,97.8,150.9,80.8
2026-09-22 01:00:00,Delhi,100.4,159.3,80.9
2026-09-22 02:00:00,Delhi,102.4,166.2,80.9
2026-09-22 03:00:00,Delhi,103.1,172.3,83.0
2026-09-22 04:00:00,Delhi,103.8,178.8,84.9
2026-09-22 05:00:00,Delhi,107.8,163.9,83.9
2026-09-22 06:00:00,Delhi,102.7,161.6,72.2
2026-09-22 07:00:00,Delhi,95.0,146.2,55.8
2026-09-22 08:00:00,Delhi,69.8,152.3,40.7
2026-09-22 09:00:00,Delhi,58.0,153.2,28.4
2026-09-22 10:00:00,Delhi,52.0,133.2,17.5
2026-09-22 11:00:00,Delhi,50.3,115.9,9.7
2026-09-22 12:00:00,Delhi,49.2,104.1,6.0
2026-09-22 13:00:00,Delhi,48.0,95.9,5.3
2026-09-22 14:00:00,Delhi,46.0,90.8,6.2
2026-09-22 15:00:00,Delhi,44.4,89.4,8.6
2026-09-22 16:00:00,Delhi,44.0,93.4,12.5
2026-09-22 17:00:00,Delhi,43.2,94.8,16.1
2026-09-22 18:00:00,Delhi,46.2,100.4,21.9
2026-09-22 19:00:00,Delhi,50.1,106.4,30.0
2026-09-22 20:00:00,Delhi,53.7,112.2,36.7
2026-09-22 21:00:00,Delhi,58.0,119.0,40.5
2026-09-22 22:00:00,Delhi,61.2,126.2,42.8
2026-09-22 23:00:00,Delhi,63.3,131.8,45.0
2026-09-23 00:00:00,Delhi,65.7,138.8,47.3
2026-09-23 01:00:00,Delhi,68.9,146.7,49.3
2026-09-23 02:00:00,Delhi,71.2,150.9,51.3
2026-09-23 03:00:00,Delhi,72.6,152.3,54.4
2026-09-23 04:00:00,Delhi,74.3,153.7,57.5
2026-09-23 05:00:00,Delhi,77.8,156.0,57.4
2026-09-23 06:00:00,Delhi,84.8,161.1,51.8
2026-09-23 07:00:00,Delhi,79.6,143.4,43.1
2026-09-23 08:00:00,Delhi,68.2,123.9,34.4
2026-09-23 09:00:00,Delhi,59.6,104.8,26.4
2026-09-23 10:00:00,Delhi,58.2,101.7,18.5
2026-09-23 11:00:00,Delhi,56.7,99.7,12.6
2026-09-23 12:00:00,Delhi,55.1,94.5,9.2
2026-09-23 13:00:00,Delhi,53.8,89.6,7.7
2026-09-23 14:00:00,Delhi,53.3,85.7,8.1
2026-09-23 15:00:00,Delhi,53.3,83.1,10.7
2026-09-23 16:00:00,Delhi,54.7,79.9,15.3
2026-09-23 17:00:00,Delhi,56.7,79.9,21.0
2026-09-23 18:00:00,Delhi,60.1,82.9,27.7
2026-09-23 19:00:00,Delhi,65.4,86.6,35.6
2026-09-23 20:00:00,Delhi,72.6,90.1,44.4
2026-09-23 21:00:00,Delhi,82.7,98.0,56.7
2026-09-23 22:00:00,Delhi,94.3,109.9,69.9
2026-09-23 23:00:00,Delhi,98.7,115.7,76.3
2026-09-24 00:00:00,Delhi,93.4,112.5,70.4
2026-09-24 01:00:00,Delhi,82.4,102.4,57.6
2026-09-24 02:00:00,Delhi,77.5,95.7,47.3
2026-09-24 03:00:00,Delhi,77.8,94.1,43.1
2026-09-24 04:00:00,Delhi,78.2,92.2,41.2
2026-09-24 05:00:00,Delhi,75.7,88.2,39.6
2026-09-24 06:00:00,Delhi,75.4,85.2,38.3
2026-09-24 07:00:00,Delhi,74.7,81.3,37.2
2026-09-24 08:00:00,Delhi,64.0,70.1,34.0
2026-09-24 09:00:00,Delhi,54.0,61.9,26.5
2026-09-24 10:00:00,Delhi,46.7,56.2,16.9
2026-09-24 11:00:00,Delhi,43.1,52.0,9.7
2026-09-24 12:00:00,Delhi,41.0,49.4,6.7
2026-09-24 13:00:00,Delhi,39.5,46.6,6.1
2026-09-24 14:00:00,Delhi,38.8,45.9,7.2
2026-09-24 15:00:00,Delhi,38.3,45.3,10.1
2026-09-24 16:00:00,Delhi,38.0,45.1,14.7
2026-09-24 17:00:00,Delhi,40.2,47.1,19.9
2026-09-24 18:00:00,Delhi,43.7,50.9,26.9
2026-09-24 19:00:00,Delhi,46.9,56.8,34.6
2026-09-24 20:00:00,Delhi,48.0,70.5,38.5
2026-09-24 21:00:00,Delhi,43.9,88.5,35.6
2026-09-24 22:00:00,Delhi,40.0,96.6,29.0
2026-09-24 23:00:00,Delhi,38.8,90.8,23.5
2026-09-25 00:00:00,Delhi,36.7,83.1,20.5
2026-09-25 01:00:00,Delhi,32.8,75.0,18.6
2026-09-25 02:00:00,Delhi,28.8,65.7,18.0
2026-09-25 03:00:00,Delhi,25.8,55.4,19.6
2026-09-25 04:00:00,Delhi,24.0,46.1,22.6
2026-09-25 05:00:00,Delhi,24.4,40.6,24.8
2026-09-25 06:00:00,Delhi,26.5,38.4,25.7
2026-09-25 07:00:00,Delhi,26.3,36.1,25.7
2026-09-25 08:00:00,Delhi,21.5,30.3,24.1
2026-09-25 09:00:00,Delhi,19.0,28.8,19.5
2026-09-25 10:00:00,Delhi,19.2,37.4,13.2
2026-09-25 11:00:00,Delhi,18.6,45.9,8.4
2026-09-25 12:00:00,Delhi,16.2,40.4,6.0
2026-09-25 13:00:00,Delhi,14.2,24.3,5.0
2026-09-25 14:00:00,Delhi,14.6,23.9,5.8
2026-09-25 15:00:00,Delhi,15.1,26.5,7.8
2026-09-25 16:00:00,Delhi,15.8,24.9,11.4
2026-09-25 17:00:00,Delhi,18.4,24.5,18.5
2026-09-25 18:00:00,Delhi,26.5,31.8,31.3
2026-09-25 19:00:00,Delhi,35.2,39.5,47.4
2026-09-25 20:00:00,Delhi,43.2,48.4,61.6
2026-09-25 21:00:00,Delhi,52.3,60.8,72.6
2026-09-25 22:00:00,Delhi,60.3,70.5,81.7
2026-09-25 23:00:00,Delhi,66.8,78.7,87.1
2026-09-26 00:00:00,Delhi,70.5,85.0,87.3
2026-09-26 01:00:00,Delhi,72.6,89.9,83.8
2026-09-26 02:00:00,Delhi,73.6,93.4,79.7
2026-09-26 03:00:00,Delhi,71.9,94.3,76.5
2026-09-26 04:00:00,Delhi,71.2,97.3,72.6
2026-09-26 05:00:00,Delhi,72.4,101.0,66.5
2026-09-26 06:00:00,Delhi,76.8,109.0,56.4
2026-09-26 07:00:00,Delhi,79.9,112.5,44.0
2026-09-26 08:00:00,Delhi,75.4,117.1,32.6
2026-09-26 09:00:00,Delhi,67.1,110.1,22.9
2026-09-26 10:00:00,Delhi,62.4,102.4,14.2
2026-09-26 11:00:00,Delhi,58.1,92.4,8.1
2026-09-26 12:00:00,Delhi,54.9,84.5,5.4
2026-09-26 13:00:00,Delhi,52.3,79.2,5.2
2026-09-26 14:00:00,Delhi,49.9,69.2,6.6
2026-09-26 15:00:00,Delhi,48.9,65.0,9.5
2026-09-26 16:00:00,Delhi,48.5,62.9,13.9
2026-09-26 17:00:00,Delhi,47.1,67.8,19.2
2026-09-26 18:00:00,Delhi,44.9,64.0,25.1
2026-09-26 19:00:00,Delhi,43.2,61.2,31.7
2026-09-26 20:00:00,Delhi,44.0,60.8,39.3
2026-09-26 21:00:00,Delhi,50.8,69.4,48.9
2026-09-26 22:00:00,Delhi,60.8,81.7,59.3
2026-09-26 23:00:00,Delhi,68.7,90.6,67.3
2026-09-27 00:00:00,Delhi,73.6,94.1,72.3
2026-09-27 01:00:00,Delhi,77.8,94.8,74.8
2026-09-27 02:00:00,Delhi,78.5,94.1,73.5
2026-09-27 03:00:00,Delhi,80.3,96.9,66.0
2026-09-27 04:00:00,Delhi,79.2,102.2,54.6
2026-09-27 05:00:00,Delhi,79.6,107.6,44.5
2026-09-27 06:00:00,Delhi,84.3,116.9,37.8
2026-09-27 07:00:00,Delhi,84.5,122.9,32.3
2026-09-27 08:00:00,Delhi,80.1,138.8,26.6
2026-09-27 09:00:00,Delhi,72.9,146.7,19.3
2026-09-27 10:00:00,Delhi,68.7,140.2,11.8
2026-09-27 11:00:00,Delhi,61.9,131.3,6.3
2026-09-27 12:00:00,Delhi,57.0,121.5,4.0
2026-09-27 13:00:00,Delhi,55.9,131.3,3.8
2026-09-27 14:00:00,Delhi,55.9,142.5,4.7
2026-09-27 15:00:00,Delhi,56.0,150.9,7.0
2026-09-27 16:00:00,Delhi,57.6,156.0,10.3
2026-09-27 17:00:00,Delhi,54.2,120.1,12.7
2026-09-21 00:00:00,Mumbai,32.0,47.7,17.1
2026-09-21 01:00:00,Mumbai,33.5,50.1,16.3
2026-09-21 02:00:00,Mumbai,32.4,47.6,16.4
2026-09-21 03:00:00,Mumbai,32.1,46.0,18.2
2026-09-21 04:00:00,Mumbai,31.3,42.4,20.8
2026-09-21 05:00:00,Mumbai,29.8,44.5,18.9
2026-09-21 06:00:00,Mumbai,29.7,43.7,20.0
2026-09-21 07:00:00,Mumbai,30.9,44.4,21.3
