timestamp,city,pm25,pm10,no2
2026-08-13 00:00:00,Delhi,66.8,66.8,54.7
2026-08-13 01:00:00,Delhi,61.2,61.2,49.7
2026-08-13 02:00:00,Delhi,55.4,55.4,44.8
2026-08-13 03:00:00,Delhi,47.5,47.5,39.4
2026-08-13 04:00:00,Delhi,41.1,41.2,34.1
2026-08-13 05:00:00,Delhi,51.5,51.5,44.8
2026-08-13 06:00:00,Delhi,50.3,50.9,40.4
2026-08-13 07:00:00,Delhi,47.3,48.7,34.0
2026-08-13 08:00:00,Delhi,44.2,47.8,27.6
2026-08-13 09:00:00,Delhi,46.0,73.8,21.0
2026-08-13 10:00:00,Delhi,44.4,53.9,14.4
2026-08-13 11:00:00,Delhi,42.3,48.9,9.4
2026-08-13 12:00:00,Delhi,41.8,46.7,6.9
2026-08-13 13:00:00,Delhi,39.6,42.8,6.1
2026-08-13 14:00:00,Delhi,37.5,39.6,6.7
2026-08-13 15:00:00,Delhi,37.8,74.5,5.8
2026-08-13 16:00:00,Delhi,41.7,110.8,6.4
2026-08-13 17:00:00,Delhi,37.6,47.1,17.4
2026-08-13 18:00:00,Delhi,46.0,52.7,33.9
2026-08-13 19:00:00,Delhi,54.8,61.9,56.6
2026-08-13 20:00:00,Delhi,63.6,71.7,73.2
2026-08-13 21:00:00,Delhi,76.8,86.6,77.9
2026-08-13 22:00:00,Delhi,83.6,90.8,76.6
2026-08-13 23:00:00,Delhi,74.0,78.5,73.8
2026-08-14 00:00:00,Delhi,73.6,75.4,70.6
2026-08-14 01:00:00,Delhi,72.6,74.0,65.9
2026-08-14 02:00:00,Delhi,72.4,73.8,62.0
2026-08-14 03:00:00,Delhi,71.5,73.3,60.1
2026-08-14 04:00:00,Delhi,71.7,73.6,58.8
2026-08-14 05:00:00,Delhi,61.2,65.9,55.8
2026-08-14 06:00:00,Delhi,59.4,68.2,52.7
2026-08-14 07:00:00,Delhi,51.3,62.9,48.4
2026-08-14 08:00:00,Delhi,48.5,61.7,43.8
2026-08-14 09:00:00,Delhi,43.5,64.5,38.8
2026-08-14 10:00:00,Delhi,42.8,65.2,33.7
2026-08-14 11:00:00,Delhi,40.3,59.8,30.2
2026-08-14 12:00:00,Delhi,38.4,55.1,29.2
2026-08-14 13:00:00,Delhi,38.8,53.8,29.8
2026-08-14 14:00:00,Delhi,39.5,53.0,31.6
2026-08-14 15:00:00,Delhi,39.2,50.6,33.5
2026-08-14 16:00:00,Delhi,37.8,46.1,36.6
2026-08-14 17:00:00,Delhi,46.2,60.3,34.6
2026-08-14 18:00:00,Delhi,50.2,61.0,51.2
2026-08-14 19:00:00,Delhi,66.4,75.0,74.0
2026-08-14 20:00:00,Delhi,79.2,87.1,90.9
2026-08-14 21:00:00,Delhi,89.4,96.9,96.0
2026-08-14 22:00:00,Delhi,91.7,97.8,95.2
2026-08-14 23:00:00,Delhi,93.6,98.7,93.6
2026-08-15 00:00:00,Delhi,95.2,99.9,92.7
2026-08-15 01:00:00,Delhi,93.6,97.8,91.0
2026-08-15 02:00:00,Delhi,94.1,97.6,88.8
2026-08-15 03:00:00,Delhi,94.5,98.0,86.7
2026-08-15 04:00:00,Delhi,95.7,99.0,84.2
