timestamp,city,pm25,pm10,no2
2026-08-28 00:00:00,Delhi,108.7,119.7,88.2
2026-08-28 01:00:00,Delhi,112.7,126.2,85.3
2026-08-28 02:00:00,Delhi,114.8,132.7,81.2
2026-08-28 03:00:00,Delhi,114.6,140.2,75.5
2026-08-28 04:00:00,Delhi,112.7,149.9,68.4
2026-08-28 05:00:00,Delhi,54.6,116.6,31.1
2026-08-28 06:00:00,Delhi,51.3,109.9,29.1
2026-08-28 07:00:00,Delhi,51.9,105.9,26.1
2026-08-28 08:00:00,Delhi,53.9,136.0,22.3
2026-08-28 09:00:00,Delhi,66.1,246.8,17.0
2026-08-28 10:00:00,Delhi,79.6,330.6,11.0
2026-08-28 11:00:00,Delhi,93.1,408.9,6.6
2026-08-28 12:00:00,Delhi,104.5,489.9,4.4
2026-08-28 13:00:00,Delhi,108.5,514.1,3.8
2026-08-28 14:00:00,Delhi,119.0,609.1,5.4
2026-08-28 15:00:00,Delhi,126.2,666.8,8.9
2026-08-28 16:00:00,Delhi,130.4,687.3,14.5
2026-08-28 17:00:00,Delhi,118.5,577.4,21.5
2026-08-28 18:00:00,Delhi,124.8,517.8,39.3
2026-08-28 19:00:00,Delhi,141.6,564.4,63.9
2026-08-28 20:00:00,Delhi,160.7,588.6,83.1
2026-08-28 21:00:00,Delhi,170.9,573.7,92.3
2026-08-28 22:00:00,Delhi,177.9,556.9,96.1
2026-08-28 23:00:00,Delhi,177.4,517.8,96.2
2026-08-29 00:00:00,Delhi,165.3,458.2,92.5
2026-08-29 01:00:00,Delhi,146.7,383.7,85.2
2026-08-29 02:00:00,Delhi,124.8,303.6,75.7
2026-08-29 03:00:00,Delhi,102.7,263.6,63.3
2026-08-29 04:00:00,Delhi,85.0,266.4,48.8
2026-08-29 05:00:00,Delhi,81.5,380.9,21.7
2026-08-29 06:00:00,Delhi,85.4,424.7,20.4
2026-08-29 07:00:00,Delhi,95.2,489.9,18.4
2026-08-29 08:00:00,Delhi,103.8,542.0,15.9
2026-08-29 09:00:00,Delhi,111.5,599.8,12.5
2026-08-29 10:00:00,Delhi,118.7,642.6,8.5
2026-08-29 11:00:00,Delhi,122.9,663.1,5.7
2026-08-29 12:00:00,Delhi,122.0,648.2,4.1
2026-08-29 13:00:00,Delhi,120.1,629.6,3.5
2026-08-29 14:00:00,Delhi,118.5,612.8,5.3
2026-08-29 15:00:00,Delhi,117.1,603.5,9.5
2026-08-29 16:00:00,Delhi,114.6,577.4,16.0
2026-08-29 17:00:00,Delhi,91.0,419.1,20.0
2026-08-29 18:00:00,Delhi,95.7,352.0,36.1
2026-08-29 19:00:00,Delhi,108.7,364.1,58.3
2026-08-29 20:00:00,Delhi,120.1,372.5,75.7
2026-08-29 21:00:00,Delhi,128.1,366.9,84.2
2026-08-29 22:00:00,Delhi,136.0,357.6,87.9
2026-08-29 23:00:00,Delhi,136.9,341.8,87.6
2026-08-30 00:00:00,Delhi,130.4,320.4,83.0
2026-08-30 01:00:00,Delhi,117.6,297.1,74.3
2026-08-30 02:00:00,Delhi,98.7,295.2,63.7
2026-08-30 03:00:00,Delhi,82.7,303.6,49.7
2026-08-30 04:00:00,Delhi,72.2,299.0,33.7
2026-08-30 05:00:00,Delhi,68.5,299.9,21.6
2026-08-30 06:00:00,Delhi,70.5,312.0,16.7
2026-08-30 07:00:00,Delhi,76.1,314.8,15.6
2026-08-30 08:00:00,Delhi,79.2,365.1,14.3
2026-08-30 09:00:00,Delhi,84.1,412.6,11.0
2026-08-30 10:00:00,Delhi,89.9,452.6,7.5
2026-08-30 11:00:00,Delhi,93.4,469.4,5.0
2026-08-30 12:00:00,Delhi,85.7,405.1,3.8
2026-08-30 13:00:00,Delhi,79.4,361.4,3.6
2026-08-30 14:00:00,Delhi,75.0,329.7,4.5
2026-08-30 15:00:00,Delhi,74.3,318.5,4.7
2026-08-30 16:00:00,Delhi,74.0,306.4,6.1
2026-08-30 17:00:00,Delhi,76.8,291.5,14.1
2026-08-30 18:00:00,Delhi,85.7,269.2,35.7
2026-08-30 19:00:00,Delhi,105.2,304.5,63.9
2026-08-30 20:00:00,Delhi,118.3,300.8,83.3
2026-08-30 21:00:00,Delhi,121.5,292.4,85.8
2026-08-30 22:00:00,Delhi,124.8,269.2,79.4
2026-08-30 23:00:00,Delhi,112.0,216.1,73.0
2026-08-31 00:00:00,Delhi,105.5,196.0,69.9
2026-08-31 01:00:00,Delhi,102.0,194.2,66.8
2026-08-31 02:00:00,Delhi,101.0,219.8,62.5
2026-08-31 03:00:00,Delhi,101.0,258.0,56.2
2026-08-31 04:00:00,Delhi,102.9,312.9,48.6
2026-08-31 05:00:00,Delhi,97.1,342.7,41.0
2026-08-31 06:00:00,Delhi,89.4,353.9,33.3
2026-08-31 07:00:00,Delhi,84.3,340.9,25.6
2026-08-31 08:00:00,Delhi,79.2,357.6,18.9
2026-08-31 09:00:00,Delhi,77.8,384.6,13.6
2026-08-31 10:00:00,Delhi,82.4,416.3,9.4
2026-08-31 11:00:00,Delhi,87.3,432.1,6.6
2026-08-31 12:00:00,Delhi,85.7,392.1,5.4
2026-08-31 13:00:00,Delhi,83.1,353.0,5.6
2026-08-31 14:00:00,Delhi,80.8,330.6,7.2
2026-08-31 15:00:00,Delhi,82.2,333.4,9.3
2026-08-31 16:00:00,Delhi,82.7,330.6,12.8
2026-08-31 17:00:00,Delhi,86.1,315.7,19.6
2026-08-31 18:00:00,Delhi,92.2,296.2,33.5
2026-08-31 19:00:00,Delhi,101.5,260.8,50.8
2026-08-31 20:00:00,Delhi,103.1,219.8,62.0
2026-08-31 21:00:00,Delhi,103.6,211.9,62.0
2026-08-31 22:00:00,Delhi,105.2,225.4,55.9
2026-08-31 23:00:00,Delhi,104.3,235.2,49.6
2026-09-01 00:00:00,Delhi,101.0,230.0,44.4
2026-09-01 01:00:00,Delhi,95.9,203.5,39.0
2026-09-01 02:00:00,Delhi,88.5,183.5,35.1
2026-09-01 03:00:00,Delhi,83.8,170.0,33.7
2026-09-01 04:00:00,Delhi,80.3,156.9,33.8
2026-09-01 05:00:00,Delhi,77.3,147.6,34.1
2026-09-01 06:00:00,Delhi,76.1,139.2,35.1
2026-09-01 07:00:00,Delhi,75.9,147.1,36.4
2026-09-01 08:00:00,Delhi,74.5,154.1,35.3
2026-09-01 09:00:00,Delhi,76.1,173.7,29.6
2026-09-01 10:00:00,Delhi,75.2,182.1,21.5
2026-09-01 11:00:00,Delhi,68.9,152.7,15.1
2026-09-01 12:00:00,Delhi,62.9,136.9,11.3
2026-09-01 13:00:00,Delhi,63.8,160.2,9.2
2026-09-01 14:00:00,Delhi,63.3,164.8,9.6
2026-09-01 15:00:00,Delhi,46.6,105.7,13.3
2026-09-01 16:00:00,Delhi,35.3,69.2,19.5
2026-09-01 17:00:00,Delhi,31.0,49.5,26.9
2026-09-01 18:00:00,Delhi,33.8,48.0,36.4
2026-09-01 19:00:00,Delhi,36.7,48.2,47.0
2026-09-01 20:00:00,Delhi,44.0,53.6,54.6
2026-09-01 21:00:00,Delhi,46.7,54.1,57.1
2026-09-01 22:00:00,Delhi,45.2,50.4,56.6
2026-09-01 23:00:00,Delhi,45.3,49.0,55.3
2026-09-02 00:00:00,Delhi,45.5,48.1,54.2
2026-09-02 01:00:00,Delhi,45.6,47.5,52.3
2026-09-02 02:00:00,Delhi,46.3,48.0,49.4
2026-09-02 03:00:00,Delhi,43.8,44.8,44.3
2026-09-02 04:00:00,Delhi,38.5,39.1,38.1
2026-09-02 05:00:00,Delhi,34.9,35.3,33.8
2026-09-02 06:00:00,Delhi,36.2,36.3,33.9
2026-09-02 07:00:00,Delhi,33.5,34.1,35.8
2026-09-02 08:00:00,Delhi,29.7,30.0,35.5
2026-09-02 09:00:00,Delhi,22.6,22.9,29.9
2026-09-02 10:00:00,Delhi,20.9,21.0,21.9
2026-09-02 11:00:00,Delhi,21.0,21.1,16.3
2026-09-02 12:00:00,Delhi,21.0,21.0,15.0
2026-09-02 13:00:00,Delhi,21.9,21.9,16.1
2026-09-02 14:00:00,Delhi,21.7,21.8,18.1
2026-09-02 15:00:00,Delhi,23.2,23.2,20.0
2026-09-02 16:00:00,Delhi,23.5,23.5,22.9
2026-09-02 17:00:00,Delhi,24.7,24.8,28.1
2026-09-02 18:00:00,Delhi,30.6,30.7,38.3
2026-09-02 19:00:00,Delhi,38.1,38.2,50.9
2026-09-02 20:00:00,Delhi,43.9,43.9,59.7
2026-09-02 21:00:00,Delhi,53.6,53.7,61.3
2026-09-02 22:00:00,Delhi,50.6,50.6,59.1
2026-09-02 23:00:00,Delhi,49.7,49.8,56.8
2026-09-03 00:00:00,Delhi,51.9,52.0,55.2
2026-09-03 01:00:00,Delhi,54.5,54.5,53.5
2026-09-03 02:00:00,Delhi,56.5,56.5,52.8
2026-09-03 03:00:00,Delhi,58.8,58.8,55.1
2026-09-03 04:00:00,Delhi,60.3,60.3,58.4
2026-09-03 05:00:00,Delhi,63.3,63.6,58.3
2026-09-03 06:00:00,Delhi,70.3,71.2,52.2
2026-09-03 07:00:00,Delhi,52.3,52.5,42.6
2026-09-03 08:00:00,Delhi,36.3,36.4,33.4
2026-09-03 09:00:00,Delhi,28.6,28.9,25.0
2026-09-03 10:00:00,Delhi,27.6,27.9,16.9
2026-09-03 11:00:00,Delhi,28.3,28.6,10.9
