timestamp,city,pm25,pm10,no2
2026-09-02 00:00:00,Delhi,48.8,65.7,38.9
2026-09-02 01:00:00,Delhi,46.9,60.1,36.2
2026-09-02 02:00:00,Delhi,45.3,55.3,34.8
2026-09-02 03:00:00,Delhi,44.1,51.9,36.2
2026-09-02 04:00:00,Delhi,44.2,50.5,38.8
2026-09-02 05:00:00,Delhi,47.0,63.8,35.3
2026-09-02 06:00:00,Delhi,50.9,65.9,34.9
2026-09-02 07:00:00,Delhi,46.4,72.6,34.1
2026-09-02 08:00:00,Delhi,43.4,81.0,31.5
2026-09-02 09:00:00,Delhi,45.8,99.4,25.3
2026-09-02 10:00:00,Delhi,49.0,112.5,17.2
2026-09-02 11:00:00,Delhi,49.9,117.1,11.0
2026-09-02 12:00:00,Delhi,48.4,114.6,7.8
2026-09-02 13:00:00,Delhi,46.6,116.6,6.5
2026-09-02 14:00:00,Delhi,57.9,147.1,7.6
2026-09-02 15:00:00,Delhi,39.3,91.5,12.0
2026-09-02 16:00:00,Delhi,35.2,72.4,18.8
2026-09-02 17:00:00,Delhi,35.4,72.9,17.1
2026-09-02 18:00:00,Delhi,37.8,60.5,31.0
2026-09-02 19:00:00,Delhi,49.2,66.6,49.9
2026-09-02 20:00:00,Delhi,51.8,63.3,62.0
2026-09-02 21:00:00,Delhi,48.4,56.1,61.2
2026-09-02 22:00:00,Delhi,43.7,48.4,53.7
2026-09-02 23:00:00,Delhi,40.2,43.0,46.0
2026-09-03 00:00:00,Delhi,35.6,37.4,39.7
2026-09-03 01:00:00,Delhi,31.8,32.9,33.3
2026-09-03 02:00:00,Delhi,29.2,29.9,28.5
2026-09-03 03:00:00,Delhi,28.5,28.9,26.3
2026-09-03 04:00:00,Delhi,28.1,28.3,25.6
2026-09-03 05:00:00,Delhi,12.0,12.0,19.1
2026-09-03 06:00:00,Delhi,12.4,12.5,20.6
2026-09-03 07:00:00,Delhi,12.8,12.9,22.6
2026-09-03 08:00:00,Delhi,13.1,13.2,23.1
2026-09-03 09:00:00,Delhi,15.1,15.3,20.9
2026-09-03 10:00:00,Delhi,16.9,23.9,17.3
2026-09-03 11:00:00,Delhi,17.6,28.5,14.4
2026-09-03 12:00:00,Delhi,17.2,22.9,12.7
2026-09-03 13:00:00,Delhi,18.1,21.7,11.7
2026-09-03 14:00:00,Delhi,19.0,21.5,12.0
2026-09-03 15:00:00,Delhi,21.0,26.1,11.6
2026-09-03 16:00:00,Delhi,22.5,25.7,12.4
2026-09-03 17:00:00,Delhi,25.3,25.5,33.5
2026-09-03 18:00:00,Delhi,30.3,30.5,47.0
2026-09-03 19:00:00,Delhi,41.4,41.7,65.5
2026-09-03 20:00:00,Delhi,52.0,52.3,79.0
2026-09-03 21:00:00,Delhi,66.4,66.6,83.1
2026-09-03 22:00:00,Delhi,67.8,68.0,82.3
2026-09-03 23:00:00,Delhi,64.3,64.7,79.2
2026-09-04 00:00:00,Delhi,61.7,61.9,74.1
2026-09-04 01:00:00,Delhi,59.3,59.6,66.8
2026-09-04 02:00:00,Delhi,58.2,58.7,59.9
2026-09-04 03:00:00,Delhi,56.9,57.3,54.3
2026-09-04 04:00:00,Delhi,54.7,55.2,49.1
2026-09-04 05:00:00,Delhi,53.2,53.7,44.5
2026-09-04 06:00:00,Delhi,53.9,54.2,40.8
2026-09-04 07:00:00,Delhi,50.4,50.9,37.7
2026-09-04 08:00:00,Delhi,39.8,40.4,34.0
2026-09-04 09:00:00,Delhi,31.8,32.4,28.9
2026-09-04 10:00:00,Delhi,30.6,31.1,23.2
2026-09-04 11:00:00,Delhi,32.7,33.2,18.9
2026-09-04 12:00:00,Delhi,34.6,35.2,16.5
2026-09-04 13:00:00,Delhi,36.0,36.7,15.5
2026-09-04 14:00:00,Delhi,38.0,38.5,15.9
2026-09-04 15:00:00,Delhi,38.6,39.2,17.5
