timestamp,city,pm25,pm10,no2
2026-06-13 00:00:00,Delhi,109.0,506.6,23.9
2026-06-13 01:00:00,Delhi,104.5,423.8,23.9
2026-06-13 02:00:00,Delhi,94.3,334.3,24.4
2026-06-13 03:00:00,Delhi,84.3,284.1,25.1
2026-06-13 04:00:00,Delhi,76.8,245.9,26.3
2026-06-13 05:00:00,Delhi,74.3,137.8,23.1
2026-06-13 06:00:00,Delhi,70.3,166.7,23.9
2026-06-13 07:00:00,Delhi,72.2,229.1,25.0
2026-06-13 08:00:00,Delhi,88.5,391.2,24.5
2026-06-13 09:00:00,Delhi,110.6,553.2,21.4
2026-06-13 10:00:00,Delhi,124.3,609.1,16.8
2026-06-13 11:00:00,Delhi,127.6,584.9,12.8
2026-06-13 12:00:00,Delhi,125.7,534.6,9.8
2026-06-13 13:00:00,Delhi,120.1,474.0,7.5
2026-06-13 14:00:00,Delhi,112.2,421.9,6.5
2026-06-13 15:00:00,Delhi,102.9,380.0,5.3
2026-06-13 16:00:00,Delhi,95.2,339.0,5.5
2026-06-13 17:00:00,Delhi,101.7,375.3,14.7
2026-06-13 18:00:00,Delhi,104.5,315.7,31.6
2026-06-13 19:00:00,Delhi,112.9,317.6,55.3
2026-06-13 20:00:00,Delhi,130.4,346.5,75.7
2026-06-13 21:00:00,Delhi,145.8,366.9,89.8
2026-06-13 22:00:00,Delhi,151.8,378.1,100.6
2026-06-13 23:00:00,Delhi,158.3,394.9,106.9
2026-06-14 00:00:00,Delhi,161.1,396.7,106.9
2026-06-14 01:00:00,Delhi,156.9,382.8,102.4
2026-06-14 02:00:00,Delhi,153.7,375.3,97.5
2026-06-14 03:00:00,Delhi,151.3,362.3,94.9
2026-06-14 04:00:00,Delhi,146.7,333.4,91.9
2026-06-14 05:00:00,Delhi,127.1,353.0,28.7
2026-06-14 06:00:00,Delhi,125.7,328.8,25.5
2026-06-14 07:00:00,Delhi,109.7,337.1,21.0
2026-06-14 08:00:00,Delhi,95.0,369.7,16.8
2026-06-14 09:00:00,Delhi,100.8,427.5,13.4
2026-06-14 10:00:00,Delhi,116.2,516.0,10.2
2026-06-14 11:00:00,Delhi,115.3,506.6,7.6
2026-06-14 12:00:00,Delhi,91.0,405.1,5.4
2026-06-14 13:00:00,Delhi,90.6,428.4,3.8
2026-06-14 14:00:00,Delhi,84.8,367.9,3.2
2026-06-14 15:00:00,Delhi,85.0,380.0,2.5
2026-06-14 16:00:00,Delhi,85.7,388.4,2.8
2026-06-14 17:00:00,Delhi,78.9,362.3,8.8
2026-06-14 18:00:00,Delhi,83.6,339.0,23.2
2026-06-14 19:00:00,Delhi,97.8,351.1,43.4
2026-06-14 20:00:00,Delhi,114.6,382.8,61.5
2026-06-14 21:00:00,Delhi,127.6,399.5,75.5
2026-06-14 22:00:00,Delhi,138.3,417.2,87.3
2026-06-14 23:00:00,Delhi,148.5,444.2,94.8
2026-06-15 00:00:00,Delhi,153.7,444.2,96.2
2026-06-15 01:00:00,Delhi,152.7,413.5,93.2
2026-06-15 02:00:00,Delhi,145.8,380.0,89.4
2026-06-15 03:00:00,Delhi,140.6,354.8,86.1
2026-06-15 04:00:00,Delhi,136.0,317.6,82.0
2026-06-15 05:00:00,Delhi,129.0,276.6,76.1
2026-06-15 06:00:00,Delhi,121.5,237.5,67.7
2026-06-15 07:00:00,Delhi,116.6,248.7,57.7
2026-06-15 08:00:00,Delhi,113.2,283.1,47.3
2026-06-15 09:00:00,Delhi,115.9,330.6,36.3
2026-06-15 10:00:00,Delhi,115.9,370.7,25.0
2026-06-15 11:00:00,Delhi,115.3,405.1,16.1
2026-06-15 12:00:00,Delhi,113.4,421.0,10.5
2026-06-15 13:00:00,Delhi,112.5,442.4,7.2
2026-06-15 14:00:00,Delhi,109.7,466.6,5.8
2026-06-15 15:00:00,Delhi,110.4,508.5,6.3
2026-06-15 16:00:00,Delhi,112.5,562.5,8.6
2026-06-15 17:00:00,Delhi,113.9,558.8,12.3
2026-06-15 18:00:00,Delhi,115.9,536.4,17.2
2026-06-15 19:00:00,Delhi,114.3,459.1,23.5
2026-06-15 20:00:00,Delhi,119.7,462.9,31.2
2026-06-15 21:00:00,Delhi,127.6,475.0,41.5
2026-06-15 22:00:00,Delhi,141.1,547.6,53.2
2026-06-15 23:00:00,Delhi,150.4,583.0,62.8
2026-06-16 00:00:00,Delhi,152.7,549.5,69.9
2026-06-16 01:00:00,Delhi,153.7,516.0,74.8
2026-06-16 02:00:00,Delhi,152.7,516.0,75.1
