timestamp,city,pm25,pm10,no2
2026-07-06 00:00:00,Delhi,57.3,86.4,37.6
2026-07-06 01:00:00,Delhi,52.6,75.0,30.5
2026-07-06 02:00:00,Delhi,48.5,63.3,24.5
2026-07-06 03:00:00,Delhi,42.7,49.9,20.2
2026-07-06 04:00:00,Delhi,38.9,42.4,17.0
2026-07-06 05:00:00,Delhi,26.5,26.5,17.3
2026-07-06 06:00:00,Delhi,25.6,25.6,19.3
2026-07-06 07:00:00,Delhi,24.5,25.1,21.9
2026-07-06 08:00:00,Delhi,21.8,23.4,23.2
2026-07-06 09:00:00,Delhi,22.0,23.9,22.0
2026-07-06 10:00:00,Delhi,22.9,24.7,19.3
2026-07-06 11:00:00,Delhi,23.8,25.6,16.6
2026-07-06 12:00:00,Delhi,25.4,27.0,13.6
2026-07-06 13:00:00,Delhi,26.8,28.2,10.6
2026-07-06 14:00:00,Delhi,29.4,31.3,9.0
2026-07-06 15:00:00,Delhi,31.5,33.2,8.0
2026-07-06 16:00:00,Delhi,33.1,34.6,8.5
2026-07-06 17:00:00,Delhi,33.1,42.4,13.0
2026-07-06 18:00:00,Delhi,37.7,46.7,30.5
2026-07-06 19:00:00,Delhi,52.0,60.1,54.6
2026-07-06 20:00:00,Delhi,61.7,69.4,72.5
2026-07-06 21:00:00,Delhi,63.8,71.9,78.3
2026-07-06 22:00:00,Delhi,66.1,74.7,77.9
2026-07-06 23:00:00,Delhi,67.5,75.9,76.1
2026-07-07 00:00:00,Delhi,67.1,74.7,73.9
2026-07-07 01:00:00,Delhi,66.1,73.6,70.4
2026-07-07 02:00:00,Delhi,65.2,72.9,67.2
2026-07-07 03:00:00,Delhi,64.3,71.9,65.6
2026-07-07 04:00:00,Delhi,65.0,72.9,64.5
2026-07-07 05:00:00,Delhi,49.0,77.8,37.3
2026-07-07 06:00:00,Delhi,49.0,74.3,37.9
2026-07-07 07:00:00,Delhi,41.2,68.0,38.4
2026-07-07 08:00:00,Delhi,43.2,70.8,37.3
2026-07-07 09:00:00,Delhi,45.5,75.0,33.3
2026-07-07 10:00:00,Delhi,45.4,72.9,27.5
2026-07-07 11:00:00,Delhi,42.5,63.6,22.2
2026-07-07 12:00:00,Delhi,41.9,57.9,17.5
2026-07-07 13:00:00,Delhi,43.7,57.2,13.1
2026-07-07 14:00:00,Delhi,46.6,58.9,10.7
2026-07-07 15:00:00,Delhi,48.7,59.5,9.3
2026-07-07 16:00:00,Delhi,47.8,56.8,9.8
2026-07-07 17:00:00,Delhi,46.9,92.0,35.4
2026-07-07 18:00:00,Delhi,41.3,60.3,38.3
2026-07-07 19:00:00,Delhi,41.1,52.2,42.6
2026-07-07 20:00:00,Delhi,43.5,49.5,47.6
2026-07-07 21:00:00,Delhi,50.4,52.4,55.0
2026-07-07 22:00:00,Delhi,58.4,58.6,63.1
2026-07-07 23:00:00,Delhi,60.1,60.1,66.8
2026-07-08 00:00:00,Delhi,58.8,60.8,63.0
2026-07-08 01:00:00,Delhi,57.2,62.4,54.8
2026-07-08 02:00:00,Delhi,52.5,62.4,46.0
2026-07-08 03:00:00,Delhi,48.3,62.6,36.8
2026-07-08 04:00:00,Delhi,39.5,43.0,27.1
2026-07-08 05:00:00,Delhi,36.0,36.1,20.6
2026-07-08 06:00:00,Delhi,36.8,37.0,19.9
2026-07-08 07:00:00,Delhi,29.6,29.9,22.3
2026-07-08 08:00:00,Delhi,24.7,24.9,23.4
2026-07-08 09:00:00,Delhi,18.7,18.9,20.6
2026-07-08 10:00:00,Delhi,15.7,15.8,16.4
2026-07-08 11:00:00,Delhi,14.1,14.3,13.7
2026-07-08 12:00:00,Delhi,14.8,15.1,13.5
2026-07-08 13:00:00,Delhi,19.3,19.6,14.7
2026-07-08 14:00:00,Delhi,24.2,24.6,17.2
2026-07-08 15:00:00,Delhi,31.2,31.7,19.9
2026-07-08 16:00:00,Delhi,35.6,36.2,23.7
2026-07-08 17:00:00,Delhi,37.5,38.2,31.7
2026-07-08 18:00:00,Delhi,40.4,41.2,49.0
2026-07-08 19:00:00,Delhi,56.7,57.3,70.4
2026-07-08 20:00:00,Delhi,70.8,71.5,82.9
2026-07-08 21:00:00,Delhi,76.4,77.3,79.2
2026-07-08 22:00:00,Delhi,73.8,74.5,66.7
2026-07-08 23:00:00,Delhi,67.3,68.0,54.5
2026-07-09 00:00:00,Delhi,60.3,61.0,45.4
2026-07-09 01:00:00,Delhi,54.9,55.6,36.6
2026-07-09 02:00:00,Delhi,47.1,47.8,29.2
2026-07-09 03:00:00,Delhi,34.7,35.4,23.4
2026-07-09 04:00:00,Delhi,27.5,28.1,19.1
2026-07-09 05:00:00,Delhi,23.8,24.2,16.8
2026-07-09 06:00:00,Delhi,17.9,18.3,17.9
2026-07-09 07:00:00,Delhi,17.0,17.2,21.0
2026-07-09 08:00:00,Delhi,17.1,17.3,22.5
2026-07-09 09:00:00,Delhi,15.4,15.6,20.6
2026-07-09 10:00:00,Delhi,16.6,16.7,17.2
2026-07-09 11:00:00,Delhi,16.6,16.7,14.2
2026-07-09 12:00:00,Delhi,17.1,17.1,12.2
2026-07-09 13:00:00,Delhi,16.2,16.3,10.6
2026-07-09 14:00:00,Delhi,16.4,16.5,10.2
2026-07-09 15:00:00,Delhi,18.2,18.3,10.1
2026-07-09 16:00:00,Delhi,20.0,20.1,11.1
2026-07-09 17:00:00,Delhi,20.8,21.0,16.7
2026-07-09 18:00:00,Delhi,26.9,27.0,30.7
2026-07-09 19:00:00,Delhi,36.0,36.1,49.3
2026-07-09 20:00:00,Delhi,45.9,46.0,64.4
2026-07-09 21:00:00,Delhi,54.1,54.2,73.1
2026-07-09 22:00:00,Delhi,64.0,64.5,78.3
2026-07-09 23:00:00,Delhi,66.1,67.1,80.3
2026-07-10 00:00:00,Delhi,65.7,66.6,78.8
2026-07-10 01:00:00,Delhi,67.3,68.2,74.1
2026-07-10 02:00:00,Delhi,69.8,70.8,67.0
2026-07-10 03:00:00,Delhi,64.5,65.2,55.1
2026-07-10 04:00:00,Delhi,54.4,54.6,40.8
2026-07-10 05:00:00,Delhi,44.4,44.5,31.7
2026-07-10 06:00:00,Delhi,39.2,39.5,32.9
2026-07-10 07:00:00,Delhi,40.6,40.7,39.4
