timestamp,city,pm25,pm10,no2
2026-07-19 00:00:00,Delhi,126.7,376.3,75.9
2026-07-19 01:00:00,Delhi,116.2,323.2,69.3
2026-07-19 02:00:00,Delhi,106.6,275.7,62.9
2026-07-19 03:00:00,Delhi,99.0,252.4,57.6
2026-07-19 04:00:00,Delhi,94.8,252.4,52.5
2026-07-19 05:00:00,Delhi,110.8,209.1,71.9
2026-07-19 06:00:00,Delhi,105.7,181.1,65.1
2026-07-19 07:00:00,Delhi,100.4,161.6,55.3
2026-07-19 08:00:00,Delhi,81.5,146.2,44.5
2026-07-19 09:00:00,Delhi,70.5,176.5,31.9
2026-07-19 10:00:00,Delhi,75.7,285.9,18.4
2026-07-19 11:00:00,Delhi,90.1,429.3,8.4
2026-07-19 12:00:00,Delhi,97.6,499.2,4.1
2026-07-19 13:00:00,Delhi,111.8,603.5,3.3
2026-07-19 14:00:00,Delhi,118.7,666.8,4.3
2026-07-19 15:00:00,Delhi,126.7,717.1,5.9
2026-07-19 16:00:00,Delhi,131.3,752.5,9.1
2026-07-19 17:00:00,Delhi,127.1,536.4,22.2
2026-07-19 18:00:00,Delhi,121.5,445.2,27.0
2026-07-19 19:00:00,Delhi,116.2,374.4,33.7
2026-07-19 20:00:00,Delhi,108.7,305.5,38.7
2026-07-19 21:00:00,Delhi,103.6,268.2,40.6
2026-07-19 22:00:00,Delhi,98.3,238.4,40.8
2026-07-19 23:00:00,Delhi,91.5,210.0,40.4
2026-07-20 00:00:00,Delhi,89.6,210.0,39.7
2026-07-20 01:00:00,Delhi,90.8,241.2,38.4
2026-07-20 02:00:00,Delhi,92.4,269.2,36.7
2026-07-20 03:00:00,Delhi,95.2,291.5,34.1
2026-07-20 04:00:00,Delhi,92.9,275.7,31.2
2026-07-20 05:00:00,Delhi,32.9,71.7,19.4
2026-07-20 06:00:00,Delhi,31.3,58.0,24.0
2026-07-20 07:00:00,Delhi,30.6,54.5,30.1
2026-07-20 08:00:00,Delhi,33.5,53.8,32.8
2026-07-20 09:00:00,Delhi,34.7,62.2,28.8
2026-07-20 10:00:00,Delhi,36.8,90.8,21.3
2026-07-20 11:00:00,Delhi,39.5,110.6,15.6
2026-07-20 12:00:00,Delhi,42.3,126.2,13.3
2026-07-20 13:00:00,Delhi,51.9,199.3,12.8
2026-07-20 14:00:00,Delhi,61.0,265.4,13.8
2026-07-20 15:00:00,Delhi,67.5,297.1,16.0
2026-07-20 16:00:00,Delhi,73.6,320.4,19.7
2026-07-20 17:00:00,Delhi,35.4,75.2,33.5
2026-07-20 18:00:00,Delhi,41.2,76.1,47.4
2026-07-20 19:00:00,Delhi,54.4,83.6,66.3
2026-07-20 20:00:00,Delhi,63.6,86.4,78.4
2026-07-20 21:00:00,Delhi,62.4,82.2,77.7
2026-07-20 22:00:00,Delhi,59.5,77.8,70.1
2026-07-20 23:00:00,Delhi,51.1,64.0,61.7
2026-07-21 00:00:00,Delhi,42.3,51.3,53.7
2026-07-21 01:00:00,Delhi,34.9,41.4,44.8
2026-07-21 02:00:00,Delhi,31.4,36.2,37.6
2026-07-21 03:00:00,Delhi,30.6,33.9,33.4
2026-07-21 04:00:00,Delhi,27.8,29.3,30.8
2026-07-21 05:00:00,Delhi,25.3,26.5,28.6
2026-07-21 06:00:00,Delhi,24.0,25.0,26.5
2026-07-21 07:00:00,Delhi,23.4,24.0,24.8
2026-07-21 08:00:00,Delhi,19.2,19.4,22.6
2026-07-21 09:00:00,Delhi,14.8,15.3,19.4
2026-07-21 10:00:00,Delhi,13.9,14.6,15.8
2026-07-21 11:00:00,Delhi,13.5,14.2,12.9
2026-07-21 12:00:00,Delhi,13.5,14.0,11.1
2026-07-21 13:00:00,Delhi,14.1,14.6,10.0
2026-07-21 14:00:00,Delhi,14.7,15.0,10.0
2026-07-21 15:00:00,Delhi,14.8,15.0,10.5
2026-07-21 16:00:00,Delhi,15.4,15.6,12.1
2026-07-21 17:00:00,Delhi,15.8,16.0,16.5
2026-07-21 18:00:00,Delhi,19.2,19.3,26.6
2026-07-21 19:00:00,Delhi,26.1,26.1,39.6
2026-07-21 20:00:00,Delhi,31.3,31.3,48.1
2026-07-21 21:00:00,Delhi,32.8,32.9,48.7
2026-07-21 22:00:00,Delhi,33.3,33.3,44.9
2026-07-21 23:00:00,Delhi,30.9,30.9,40.2
2026-07-22 00:00:00,Delhi,28.8,28.8,34.8
2026-07-22 01:00:00,Delhi,27.9,27.9,28.4
2026-07-22 02:00:00,Delhi,25.8,25.9,23.5
2026-07-22 03:00:00,Delhi,24.2,24.2,21.2
2026-07-22 04:00:00,Delhi,23.8,23.9,20.3
2026-07-22 05:00:00,Delhi,23.7,23.7,19.7
2026-07-22 06:00:00,Delhi,24.9,25.0,19.4
2026-07-22 07:00:00,Delhi,19.3,19.4,19.3
2026-07-22 08:00:00,Delhi,16.2,16.3,18.6
2026-07-22 09:00:00,Delhi,14.8,14.8,16.5
2026-07-22 10:00:00,Delhi,16.6,16.7,13.6
2026-07-22 11:00:00,Delhi,18.1,18.3,11.2
2026-07-22 12:00:00,Delhi,21.3,21.5,9.2
2026-07-22 13:00:00,Delhi,22.2,22.4,7.7
2026-07-22 14:00:00,Delhi,24.3,24.7,7.3
2026-07-22 15:00:00,Delhi,25.6,26.6,8.0
2026-07-22 16:00:00,Delhi,27.2,34.3,9.9
2026-07-22 17:00:00,Delhi,28.1,34.3,14.1
2026-07-22 18:00:00,Delhi,29.9,36.2,22.8
2026-07-22 19:00:00,Delhi,35.9,40.6,33.9
2026-07-22 20:00:00,Delhi,37.0,40.0,41.6
2026-07-22 21:00:00,Delhi,39.6,41.2,43.3
2026-07-22 22:00:00,Delhi,37.8,38.6,41.6
