timestamp,city,pm25,pm10,no2
2026-08-24 00:00:00,Delhi,73.6,122.5,64.6
2026-08-24 01:00:00,Delhi,72.9,115.0,57.7
2026-08-24 02:00:00,Delhi,80.1,121.5,52.6
2026-08-24 03:00:00,Delhi,85.0,127.1,51.2
2026-08-24 04:00:00,Delhi,83.8,125.3,51.5
2026-08-24 05:00:00,Delhi,67.1,112.5,41.8
2026-08-24 06:00:00,Delhi,71.7,113.9,39.5
2026-08-24 07:00:00,Delhi,68.7,115.9,36.3
2026-08-24 08:00:00,Delhi,66.4,119.2,32.7
2026-08-24 09:00:00,Delhi,62.4,114.8,28.9
2026-08-24 10:00:00,Delhi,59.8,106.2,24.8
2026-08-24 11:00:00,Delhi,56.8,99.2,21.0
2026-08-24 12:00:00,Delhi,56.6,97.1,17.0
2026-08-24 13:00:00,Delhi,57.9,98.5,13.3
2026-08-24 14:00:00,Delhi,58.2,97.8,11.6
2026-08-24 15:00:00,Delhi,57.7,95.9,12.1
2026-08-24 16:00:00,Delhi,57.3,93.4,14.6
2026-08-24 17:00:00,Delhi,51.3,82.7,31.9
2026-08-24 18:00:00,Delhi,52.4,73.1,35.1
2026-08-24 19:00:00,Delhi,51.5,70.1,40.0
2026-08-24 20:00:00,Delhi,55.8,70.8,46.6
2026-08-24 21:00:00,Delhi,63.8,76.6,56.8
2026-08-24 22:00:00,Delhi,73.1,83.6,68.6
2026-08-24 23:00:00,Delhi,83.6,91.5,76.5
2026-08-25 00:00:00,Delhi,89.2,98.0,77.8
2026-08-25 01:00:00,Delhi,89.4,99.2,75.2
2026-08-25 02:00:00,Delhi,78.9,87.1,70.4
2026-08-25 03:00:00,Delhi,66.1,74.3,62.7
2026-08-25 04:00:00,Delhi,46.3,52.6,52.9
2026-08-25 05:00:00,Delhi,61.5,74.5,37.1
2026-08-25 06:00:00,Delhi,64.5,76.8,39.8
2026-08-25 07:00:00,Delhi,65.2,79.9,43.3
2026-08-25 08:00:00,Delhi,67.1,84.1,43.5
2026-08-25 09:00:00,Delhi,62.6,84.8,37.5
2026-08-25 10:00:00,Delhi,57.9,84.1,28.3
2026-08-25 11:00:00,Delhi,60.5,93.1,20.6
2026-08-25 12:00:00,Delhi,62.6,94.1,15.7
2026-08-25 13:00:00,Delhi,65.2,95.9,12.3
2026-08-25 14:00:00,Delhi,69.4,102.0,11.2
2026-08-25 15:00:00,Delhi,71.0,103.6,9.4
2026-08-25 16:00:00,Delhi,72.2,105.9,9.8
2026-08-25 17:00:00,Delhi,50.8,60.8,29.9
2026-08-25 18:00:00,Delhi,52.4,60.1,35.6
2026-08-25 19:00:00,Delhi,57.4,63.3,43.7
2026-08-25 20:00:00,Delhi,67.3,71.9,51.4
2026-08-25 21:00:00,Delhi,78.0,81.5,58.2
2026-08-25 22:00:00,Delhi,88.0,91.3,64.6
2026-08-25 23:00:00,Delhi,97.3,100.4,69.5
2026-08-26 00:00:00,Delhi,103.6,106.4,72.0
2026-08-26 01:00:00,Delhi,109.4,112.0,72.9
2026-08-26 02:00:00,Delhi,115.3,117.8,73.8
2026-08-26 03:00:00,Delhi,120.1,122.5,76.4
2026-08-26 04:00:00,Delhi,125.3,128.5,78.9
2026-08-26 05:00:00,Delhi,130.9,134.1,77.4
2026-08-26 06:00:00,Delhi,136.0,138.8,69.3
2026-08-26 07:00:00,Delhi,128.5,133.6,57.1
2026-08-26 08:00:00,Delhi,106.6,115.7,45.0
2026-08-26 09:00:00,Delhi,76.1,90.8,33.2
