timestamp,city,pm25,pm10,no2
2026-07-27 00:00:00,Delhi,86.4,92.9,70.7
2026-07-27 01:00:00,Delhi,89.6,95.9,72.4
2026-07-27 02:00:00,Delhi,91.0,97.8,72.6
2026-07-27 03:00:00,Delhi,92.2,98.7,70.5
2026-07-27 04:00:00,Delhi,90.8,96.9,67.1
2026-07-27 05:00:00,Delhi,82.7,86.6,58.3
2026-07-27 06:00:00,Delhi,84.1,87.8,54.3
2026-07-27 07:00:00,Delhi,79.2,84.8,48.4
2026-07-27 08:00:00,Delhi,65.2,73.6,41.4
2026-07-27 09:00:00,Delhi,55.9,72.2,32.1
2026-07-27 10:00:00,Delhi,50.3,66.4,21.7
2026-07-27 11:00:00,Delhi,46.3,59.8,13.9
2026-07-27 12:00:00,Delhi,47.5,60.3,10.6
2026-07-27 13:00:00,Delhi,48.8,61.2,9.9
2026-07-27 14:00:00,Delhi,50.6,62.6,10.4
2026-07-27 15:00:00,Delhi,49.8,63.8,11.0
2026-07-27 16:00:00,Delhi,47.7,63.3,12.7
2026-07-27 17:00:00,Delhi,50.2,81.3,23.7
2026-07-27 18:00:00,Delhi,58.7,87.3,33.3
2026-07-27 19:00:00,Delhi,66.6,96.2,46.2
2026-07-27 20:00:00,Delhi,68.7,87.5,53.7
2026-07-27 21:00:00,Delhi,66.6,96.4,50.8
2026-07-27 22:00:00,Delhi,64.5,120.1,42.5
2026-07-27 23:00:00,Delhi,61.2,135.0,35.3
2026-07-28 00:00:00,Delhi,56.5,116.9,31.2
2026-07-28 01:00:00,Delhi,51.6,90.1,28.1
2026-07-28 02:00:00,Delhi,49.8,75.7,26.1
2026-07-28 03:00:00,Delhi,49.4,68.0,25.4
2026-07-28 04:00:00,Delhi,48.4,62.2,25.7
2026-07-28 05:00:00,Delhi,55.8,113.6,32.3
2026-07-28 06:00:00,Delhi,54.0,101.7,32.2
2026-07-28 07:00:00,Delhi,48.4,83.4,31.8
2026-07-28 08:00:00,Delhi,44.6,78.2,30.1
2026-07-28 09:00:00,Delhi,47.5,100.4,25.9
2026-07-28 10:00:00,Delhi,48.9,108.7,20.4
2026-07-28 11:00:00,Delhi,44.1,90.3,15.8
